,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,F1Score,F1Score
,crl_root,crl_hips__C,crl_spine__C,crl_spine01__C,crl_shoulder__L,crl_arm__L,crl_foreArm__L,crl_hand__L,crl_neck__C,crl_Head__C,crl_eye__L,crl_eye__R,crl_shoulder__R,crl_arm__R,crl_foreArm__R,crl_hand__R,crl_thigh__R,crl_leg__R,crl_foot__R,crl_toe__R,crl_toeEnd__R,crl_thigh__L,crl_leg__L,crl_foot__L,crl_toe__L,crl_toeEnd__L,end,best
37,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0.8339776992797852,0.8339776992797852
38,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0.8202238082885742,0.8298894762992859
39,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0.7718104720115662,0.8135626316070557
40,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0.8215257525444031,0.7964882850646973
41,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0.8483142256736755,0.8328896760940552
42,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0.8620604872703552,0.8168502449989319
43,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0.8453406095504761,0.846964955329895
44,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0.8345237970352173,0.8544198274612427
45,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0.8385598063468933,0.8293803930282593
46,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0.8529979586601257,0.8366963863372803
47,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.846742570400238,0.8598707914352417
48,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0.8767348527908325,0.8944011926651001
49,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.8115543127059937,0.8115543127059937
50,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0.7993718981742859,0.8438140153884888
51,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0.8256049156188965,0.8035596609115601
52,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0.8288916349411011,0.8261451125144958
53,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0.8351776599884033,0.8273123502731323
54,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0.8408793210983276,0.8177667856216431
